season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2016,Central Connecticut,2,"99.2
266","121.3
351",".0900
339","47.4
265","52.4
250","18.8
243","10.9
349","32
91","31.6
252","32.5
263","29.3
50","42.3
336","54.9
327","39.7
32","31.9
74","67.4
220","-5.5
298"
2015,Maine,1,"92.4
325","115.4
331",".0725
339","47.3
246","54.3
319","18.8
197","19.8
100","22.1
336","30.7
169","22.9
348","32
96","48.5
150","52.6
305","30.1
298","37.6
274","66.8
64","-5.7
312"
2014,Campbell,1,"94.3
318","117.0
334",".0769
339","53.4
52","52.9
287","21.8
326","15.5
296","28.8
238","36.7
335","27.5
345","36
100","52
66","50.5
244","36.7
100","39.1
312","64.1
232","-7.8
342"
2013,Binghamton,0,"86.4
337","110.6
306",".0553
339","40.3
340","52.9
293","22.2
304","15.8
312","26
302","32.4
200","28.6
312","33
98","40.1
337","48.2
187","27.2
336","40
321","66.2
111","-7.3
336"
2012,Navy,0,"85.7
337","108.9
282",".0595
339","43.7
323","55
322","25.6
339","20.9
100","31.9
162","30
134","38.3
127","41.5
263","43.6
307","51.5
286","29.2
302","40.3
314","58.5
342","-6.2
323"
2011,Centenary,1,"86.0
339","111.9
310",".0463
339","49.2
161","55.9
335","25.1
341","21
80","22.4
332","39.7
336","52.7
8","38.9
205","45.3
259","57.2
341","39.4
38","35.5
203","70.8
15","-5.2
289"
2010,Wagner,1,"91.4
313","117.7
342",".0515
339","49.8
149","50
210","23.4
322","20.9
106","26.5
305","40.7
341","27.7
327","43.5
258","46.8
212","48.5
202","36.4
103","35.8
223","64.4
231","-6.5
328"
2009,Kennesaw St.,1,"79.9
342","106.8
258",".0342
339","38.8
343","53.4
297","21.5
248","24
23","31.3
196","37.9
321","21.8
341","39.5
239","39.9
339","52.5
296","24.9
339","36.9
258","61
311","-7
334"
2008,Arkansas Pine Bluff,4,"83.5
340","107.0
249",".0547
339","43.8
327","44.9
22","20.7
195","20.6
159","29.3
251","29.7
84","34.4
223","39.6
215","42.4
326","43.5
30","31.2
284","32.4
74","63.2
281","-8.7
339"
2019,South Carolina St.,4,"98.7
259","121.7
352",".0829
338","51.1
152","56.5
334","21.7
330","22.3
15","33.2
48","31.8
298","44.1
14","37.1
281","49.1
201","57.9
344","36.9
91","36.2
231","67.8
167","-7.5
344"
2018,Incarnate Word,2,"92.0
337","112.0
294",".0946
338","45.5
330","49.9
114","21.9
341","18.4
114","25.4
252","32.7
313","41.8
28","31.2
134","42.3
344","49
124","33.9
212","34.4
144","68.7
146","-6.3
331"
2017,Maine,2,"84.6
349","104.5
170",".0809
338","43.4
345","49.4
123","20.6
301","14.1
326","22.2
321","27.3
126","35.5
153","30.9
82","41
347","51.1
230","32.3
267","30.7
41","70.6
79","-5.1
286"
2016,The Citadel,0,"98.3
276","119.7
347",".0936
338","44.8
321","57
343","15.2
43","17.4
187","29.8
157","36.8
344","29.9
309","42.9
282","44
318","59
350","30.4
302","35.1
184","80.7
1","-8.4
349"
2015,Utah Valley,2,"88.5
343","110.2
281",".0746
338","44.3
328","50.8
222","20.6
284","16.7
257","28.2
248","30.2
147","27
333","41.2
258","44.3
292","50
235","29.5
310","35.1
178","60.5
313","-6.1
324"
2014,Longwood,1,"92.6
329","114.4
321",".0809
338","45
321","55.7
334","17.2
129","19.5
83","29.7
219","32
205","27.7
344","40.8
187","44.7
300","55.4
334","30.6
293","37.4
272","67.7
73","-8.2
345"
2013,Alcorn St.,2,"88.1
330","112.0
318",".0595
338","41.7
333","49.8
193","20.2
229","17.8
234","34.2
88","31.5
167","41.1
78","50.2
328","40.3
336","47.8
170","30.4
288","36.1
231","69.3
24","-7.3
337"
2012,Prairie View A&M,5,"81.0
345","102.8
185",".0608
338","43.3
331","46.3
65","22.7
305","24.7
10","33.6
119","28.5
84","37.7
141","37.9
209","41
335","44.7
63","33.1
202","33.1
121","72.3
6","-4.7
274"
2011,Cal St. Bakersfield,0,"84.6
342","109.8
291",".0475
338","36.2
345","56.9
342","23.2
321","19.7
144","34.8
89","34.7
272","32.9
254","31.1
60","35.9
345","54.7
332","24.4
341","40.9
335","67.6
79","-5.3
294"
2010,Dartmouth,1,"83.8
341","107.4
258",".0542
338","41
342","51
242","19
131","17.9
260","28
272","28.6
61","23.6
341","36.9
145","38.6
344","50.6
266","33
219","34.4
165","63.9
258","-7.9
344"
2009,Alcorn St.,2,"88.7
327","114.0
323",".0531
338","47.5
236","52.7
284","21.3
232","22.4
57","22.8
332","35.6
280","40.5
102","45.3
298","44.6
283","53.2
314","35.6
121","34.4
161","77.2
2","-6.7
332"
2008,Maryland Eastern Shore,2,"88.7
326","113.2
313",".0572
338","42.4
337","50.5
197","21.9
251","22.7
62","38.6
22","37.3
313","39.5
121","44.4
289","42.7
318","48.2
159","27.6
330","36.6
227","68.5
87","-8.4
334"
2019,UNC Asheville,1,"96.9
286","119.0
346",".0860
337","49.3
226","57.7
344","20.1
289","16
270","27.7
175","33.2
316","25.5
313","29.3
114","46.4
296","58
345","35.5
140","38.2
297","62.1
347","-6.6
327"
2018,Longwood,1,"89.9
341","109.4
248",".0946
337","44.7
340","51.9
199","21.4
337","17.4
171","26.2
224","29.3
221","34.9
136","35
212","44.7
325","49.1
128","29.8
318","37.7
264","68.3
165","-7.9
350"
2017,Binghamton,0,"90.9
343","110.9
289",".0929
337","45.1
329","51.1
178","17.4
144","15.7
283","23
309","28.3
167","32.7
229","35.9
201","44.1
325","46.9
83","31.1
300","38
265","66.4
264","-7.7
345"
2016,New Orleans,3,"96.6
297","117.2
338",".0969
337","47.9
250","56.4
340","20.7
320","21.2
27","38.2
12","32.1
276","43.3
47","39.5
227","47.5
236","53.3
299","32.6
241","41.3
335","73
21","-7.5
343"
2015,UT Rio Grande Valley,2,"90.7
335","112.6
316",".0768
337","44.7
315","49.9
185","21.6
315","18.8
141","28.7
232","35.9
317","39.3
109","35.7
164","47.3
196","52.9
313","26.1
346","29.4
26","63
222","-6.3
329"
2014,Howard,3,"85.6
350","105.6
183",".0816
337","42.9
345","47.9
95","24.7
351","21.6
24","27.6
274","35.4
315","60.3
3","57.5
347","39
348","48.3
161","33.7
204","31.6
78","68.9
37","-7.7
341"
2013,Tennessee Martin,3,"94.9
283","119.3
344",".0673
337","45.7
284","56.6
339","17.3
82","20.2
110","28.5
246","34.9
292","45.8
29","48.3
324","43.3
305","57.5
344","34.4
153","36.6
243","69.5
21","-4.4
236"
2012,South Carolina St.,1,"89.5
322","113.4
326",".0616
337","43.1
336","53.3
295","22.1
290","19.9
139","38.4
17","33.4
233","33.4
223","45
301","44.8
278","51.2
271","25.8
341","39.2
295","68.4
39","-8.2
345"
2011,Prairie View A&M,3,"79.8
344","102.5
180",".0531
337","39.8
344","44.1
18","22.1
293","21.4
66","33.2
139","33.9
246","34.3
230","40.8
232","42.9
314","44.6
66","21.6
345","28.8
19","64.5
220","-5.7
301"
2010,Utah Valley,3,"85.1
338","108.3
277",".0591
337","44.9
299","48.8
160","21.4
258","21.1
94","24.2
328","25.2
11","41.1
104","37.2
151","41.3
330","45.6
84","35.6
125","37.3
264","62.6
302","-5.7
299"
2009,Winston Salem St.,3,"84.5
338","107.6
272",".0586
337","44.7
313","50.3
203","25.6
336","25.4
8","33
143","35.2
270","37.1
165","50.3
324","47.5
191","49.3
200","26.1
329","35.3
189","69
57","-7.6
337"
