season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2016,Ohio St.,7,"103.1
162","89.0
16",".8451
41","50.4
152","43.5
28","18.8
176","19.8
123","30.6
160","25.8
56","32
238","25.7
42","51.9
77","39.3
14","31.9
245","35
194","69.1
185","0.5
45"
2015,"Georgia St.
14 seed, R32",3,"105.7
86","90.0
32",".8635
41","48.4
189","42.9
32","15.7
28","23.8
33","29
228","33.2
241","30.7
278","31.2
86","52.7
56","39.1
12","26.1
328","33
150","64.2
231","-0.6
111"
2014,"Memphis
8 seed, R32",6,"114.0
35","97.3
93",".8609
41","52.6
79","47
116","17.5
113","22.4
40","37.6
47","33.9
237","38.3
190","38.6
159","55.9
19","48.6
187","30.1
268","28.2
50","68.9
97","0.9
22"
2013,"Middle Tennessee
11 seed, R68",6,"102.2
126","86.8
24",".8682
41","48.3
163","45.6
100","23.7
291","26
16","38.7
39","31.9
162","37.4
121","40.3
257","47.9
149","48
196","33
189","26.9
28","65.4
219","-0
70"
2012,Virginia Tech,6,"110.2
45","95.2
86",".8431
41","51.1
114","44.6
52","19.1
103","20
191","40
20","29
65","33.7
204","33.7
147","50.9
88","46.6
142","34.5
169","26.5
20","65.4
222","0.4
48"
2011,Miami FL,6,"114.5
22","97.7
112",".8613
41","54.4
40","44.6
50","19.4
121","19
239","31.7
209","34.7
229","55.5
6","46.7
286","48.5
139","45.2
102","44.1
11","29
38","66.9
176","0.4
40"
2010,St. John's,5,"106.2
99","89.7
29",".8746
41","47.6
202","45.6
77","18.8
84","22.1
110","38.1
49","28.6
59","32.8
238","31.2
93","44.4
249","42
39","36.1
127","37.2
234","66.6
247","-0.3
77"
2009,South Carolina,5,"107.7
69","91.7
48",".8630
41","51.7
94","45.9
74","19.7
106","30
1","35.3
123","31.2
103","45
41","28
59","51.7
70","46.3
131","34.5
165","30.1
65","76.7
5","-0.3
74"
2008,California,5,"117.6
10","100.1
157",".8652
41","58.9
7","49.5
156","18.3
34","22.2
152","38.7
40","34.1
202","36.7
145","25.8
37","58.6
8","47.6
149","39.7
67","34.9
158","69.7
111","-0.5
92"
2020,Missouri,4,"101.7
152","87.1
15",".8556
40","50.7
139","37.8
3","23.4
315","25.5
9","39.4
6","25.7
101","27.4
269","46.2
332","51.3
126","39.9
10","33.3
168","23.1
4","65.9
315","0.1
72"
2019,"Iowa St.
6 seed, R64",4,"115.9
18","98.9
110",".8606
40","60.2
11","50.7
172","12.7
3","20.3
123","29.6
148","27.5
143","26.4
298","19.9
8","62.4
3","52.2
214","37.6
77","32.2
123","71.5
109","0
62"
2018,Northwestern,5,"110.7
64","95.0
49",".8532
40","53.2
104","49.3
132","16.6
57","22.5
38","28.9
168","25
60","32.1
184","45.8
331","51
136","44.7
49","37.7
99","38.3
268","66.7
303","0.3
48"
2017,"Wake Forest
11 seed, R68",4,"111.9
59","94.8
58",".8703
40","53.6
67","52
225","19.7
217","19.1
157","32.4
103","27.5
109","35.2
161","40.3
263","51.9
91","53.3
284","37.7
112","33.3
128","71.4
101","-0.2
74"
2016,"Texas
6 seed, R64",6,"110.2
64","95.0
57",".8459
40","55.8
29","43.8
34","16.3
67","20.2
103","33.1
101","28.2
113","32.9
220","36.9
208","54.7
33","40.9
25","38.3
70","32.8
123","67
279","0.8
34"
2015,"Wichita St.
7 seed, Sweet Sixteen",7,"112.2
31","95.5
97",".8637
40","50.6
109","50.9
230","15.9
33","21.4
92","35.6
63","27.1
64","36.4
175","38.6
214","45.3
228","46.7
144","39.2
44","39.2
295","62.5
295","0.5
38"
2014,"Saint Louis
5 seed, R32",5,"107.3
121","91.3
25",".8649
40","48.4
197","43.4
38","17.7
124","24
13","30.4
194","33.5
223","51.1
26","34.7
102","50.3
109","43.6
49","30.2
263","28.6
55","67.6
148","0.5
42"
