season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2019,"Bradley
15 seed, R64",19,"99.9
243","101.0
128",".4673
175","49.7
220","47.6
39","18.9
203","18.6
160","27.1
216","26.7
104","36.3
80","35.3
240","46.7
298","46.4
33","36.8
57","33
91","66.4
305","-7.8
166"
2018,Fort Wayne,14,"105.1
147","106.2
216",".4705
175","52.5
102","53.5
286","15.9
30","20.1
75","25.9
264","26.4
68","31.8
223","30.1
92","50.4
159","53.2
289","36.7
89","35.9
222","73.8
18","-8.2
174"
2017,Wright St.,18,"104.3
150","105.1
202",".4771
175","52
101","52
234","20.4
297","19.5
113","29.4
174","26.5
59","38
104","37.1
212","49.4
168","52
269","37.2
70","34.8
160","70.5
111","-6.8
145"
2016,Kent St.,18,"105.5
142","106.4
225",".4735
175","49
215","51
221","17.5
125","16.8
259","34.1
46","28
86","40
90","35.1
126","49
163","49.5
207","32.8
253","35.9
240","68.2
213","-7
154"
2015,Florida Gulf Coast,19,"99.1
229","100.1
132",".4727
175","48
213","44.8
24","17.9
88","17.2
281","34.6
61","32.4
239","33.3
268","34.8
132","46.8
215","45.5
85","33.9
190","29.1
5","64.7
178","-5.1
121"
2014,Drake,14,"104.7
174","105.5
189",".4796
175","52.1
62","51.2
238","18.8
209","16.9
259","26.8
307","27.1
12","38.2
240","38.6
134","47.4
216","50.9
258","39.7
6","34.5
179","64.7
264","-8.3
182"
2013,Houston,18,"105.4
90","106.2
278",".4767
175","51.6
55","48.8
180","18.5
88","17.9
282","33.3
116","31.2
142","40
72","33.8
122","50.2
62","49.7
255","36.7
53","31.4
60","70.3
24","-7.5
158"
2012,Savannah St.,19,"94.4
289","95.0
60",".4810
175","47
257","46.7
74","23.3
317","24.1
16","38.4
17","30
78","39.5
84","45.1
315","45.7
246","48.1
187","33.1
228","28.4
7","63.7
279","-5.7
144"
2011,North Texas,20,"107.1
81","108.2
294",".4710
175","53
27","49.1
166","19.5
135","16.1
334","30.8
225","30.2
82","50
4","35.7
122","52
22","48.8
209","37.3
46","33.2
101","68.2
87","-7.1
156"
2010,Iowa,10,"101.0
168","101.6
178",".4843
175","48.8
167","51.7
292","22.1
268","17.5
313","30.4
249","29.3
46","30.9
312","29.8
27","49.8
92","51.9
321","31.7
268","34.1
170","62.9
318","-9.8
200"
2009,"Binghamton
15 seed, R64",22,"100.6
176","101.9
191",".4617
175","49
167","46.3
52","19.5
99","21.6
116","31.9
204","34.9
260","41.8
42","41.5
278","48.7
137","45.2
64","33.1
209","32.4
65","68.5
97","-4.5
101"
2008,Albany,15,"101.2
176","103.1
198",".4443
175","49
199","49.4
145","21.5
195","19
284","36.5
46","25.3
2","36.1
190","41
264","47.7
198","46.8
103","34.5
189","36
223","65.3
251","-10.6
213"
