school,url_school,location
Rutgers Scarlet Knights,rutgers,"New Brunswick, New Jersey"
Sacramento State Hornets,sacramento-state,"Sacramento, California"
Sacred Heart Pioneers,sacred-heart,"Fairfield, Connecticut"
Saint Francis (PA) Red Flash,saint-francis-pa,"Loretto, Pennsylvania"
Saint Joseph's Hawks,saint-josephs,"Philadelphia, Pennsylvania"
Saint Louis Billikens,saint-louis,"St. Louis, Missouri"
Saint Mary's (CA) Gaels,saint-marys-ca,"Moraga, California"
Saint Peter's Peacocks,saint-peters,"Jersey City, New Jersey"
Sam Houston State Bearkats,sam-houston-state,"Huntsville, Texas"
Samford Bulldogs,samford,"Birmingham, Alabama"
San Diego State Aztecs,san-diego-state,"San Diego, California"
San Diego Toreros,san-diego,"San Diego, California"
San Francisco Dons,san-francisco,"San Francisco, California"
San Jose State Spartans,san-jose-state,"San Jose, California"
Santa Clara Broncos,santa-clara,"Santa Clara, California"
Savage School of Physical Education ,savage-school-of-physical-education,"New York, New York"
Savannah State Tigers,savannah-state,"Savannah, Georgia"
Scranton Royals,scranton,"Scranton, Pennsylvania"
Seattle Redhawks,seattle,"Seattle, Washington"
Seton Hall Pirates,seton-hall,"South Orange, New Jersey"
Sewanee Tigers,sewanee,"Sewanee, Tennessee"
Siena Saints,siena,"Loudonville, New York"
South Alabama Jaguars,south-alabama,"Mobile, Alabama"
South Carolina Gamecocks,south-carolina,"Columbia, South Carolina"
South Carolina State Bulldogs,south-carolina-state,"Orangeburg, South Carolina"
South Carolina Upstate Spartans,south-carolina-upstate,"Spartanburg, South Carolina"
South Dakota Coyotes,south-dakota,"Vermillion, South Dakota"
South Dakota State Jackrabbits,south-dakota-state,"Brookings, South Dakota"
South Florida Bulls,south-florida,"Tampa, Florida"
Southeast Missouri State Redhawks,southeast-missouri-state,"Cape Girardeau, Missouri"
Southeastern Louisiana Lions,southeastern-louisiana,"Hammond, Louisiana"
Southern California Trojans,southern-california,"Los Angeles, California"
Southern Illinois Salukis,southern-illinois,"Carbondale, Illinois"
Southern Illinois-Edwardsville Cougars,southern-illinois-edwardsville,"Edwardsville, Illinois"
