year_id,pts,mp,player,player_id,school_name,url_school
2016,11,42,Mark Donnal,mark-donnal-1,Michigan,michigan
2017,15,42,Nick Rakocevic,nick-rakocevic-1,Southern California,southern-california
2017,11,42,Jack Salt,jack-salt-1,Virginia,virginia
2011,11,42,Darrius Garrett,darrius-garrett-1,Richmond,richmond
2018,39,42,Kerem Kanter,kerem-kanter-1,Xavier,xavier
2018,13,42,Donta Hall,donta-hall-1,Alabama,alabama
2009,9,42,Demetri Goodson,demetri-goodson-1,Gonzaga,gonzaga
2015,21,42,LaDarius White,ladarius-white-1,Mississippi,mississippi
2013,12,42,Chris Babb,chris-babb-1,Iowa State,iowa-state
2008,5,42,Kendall Wallace,kendall-wallace-1,Nevada-Las Vegas,nevada-las-vegas
2014,18,42,David Nwaba,david-nwaba-1,Cal Poly,cal-poly
2013,7,42,Reggie Johnson,reggie-johnson-2,Miami (FL),miami-fl
2010,9,42,Avery Bradley,avery-bradley-1,Texas,texas
2016,13,41,Karl Charles,karl-charles-1,Holy Cross,holy-cross
2012,13,41,Thomas Gipson,thomas-gipson-1,Kansas State,kansas-state
2010,14,41,Travon Woodall,travon-woodall-1,Pittsburgh,pittsburgh
2018,5,41,Nura Zanna,nura-zanna-1,Houston,houston
2011,8,41,Lazeric Jones,lazeric-jones-1,UCLA,ucla
2015,14,41,Evan Smotrycz,evan-smotrycz-1,Maryland,maryland
2019,16,41,Breaon Brady,breaon-brady-1,Houston,houston
2016,24,41,Vince Edwards,vince-edwards-2,Purdue,purdue
2017,12,41,Raymond Spalding,raymond-spalding-1,Louisville,louisville
2010,11,41,Chas McFarland,chas-mcfarland-1,Wake Forest,wake-forest
2008,12,41,Pat Ewing,pat-ewing-1,Georgetown,georgetown
2019,2,41,Jeremy Jones,jeremy-jones-4,Gonzaga,gonzaga
2009,10,41,Elston Turner,elston-turner-2,Washington,washington
2012,8,41,Dee Davis,dee-davis-1,Xavier,xavier
2015,11,41,Kevin Johnson,kevin-johnson-6,Cincinnati,cincinnati
2013,6,41,Mike Hart,mike-hart-1,Gonzaga,gonzaga
2008,18,41,Jeff Adrien,jeff-adrien-1,Connecticut,connecticut
2010,10,41,Rodney McGruder,rodney-mcgruder-1,Kansas State,kansas-state
2015,11,41,Marc Loving,marc-loving-1,Ohio State,ohio-state
2018,11,41,Xavier Tillman,xavier-tillman-1,Michigan State,michigan-state
2010,12,41,Derrick Nix,derrick-nix-1,Michigan State,michigan-state
2014,2,41,Nate Britt,nate-britt-1,North Carolina,north-carolina
2011,12,41,Sean Kilpatrick,sean-kilpatrick-1,Cincinnati,cincinnati
2010,9,41,Austin Thornton,austin-thornton-1,Michigan State,michigan-state
2015,12,41,Traevon Jackson,traevon-jackson-1,Wisconsin,wisconsin
