season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2017,Southeastern Louisiana,4,"93.3
314","105.1
190",".2022
299","47.8
270","50.8
175","22.3
324","22.9
21","36
28","32.1
272","43.2
50","37.3
203","47.5
246","53
280","32.3
256","30.8
56","69
191","-3.3
242"
2016,Sacramento St.,2,"97.0
283","110.4
279",".1836
299","50.7
148","53.7
298","18.2
187","16.5
249","23.8
310","29
155","35.3
217","32.8
98","48.8
168","52.9
302","36.4
118","36.8
239","67.7
219","-4.8
302"
2015,Tennessee Tech,2,"96.1
277","108.5
266",".2002
299","47.4
228","53.4
310","20.8
272","18.4
194","32.9
116","31
171","31.4
287","40.4
232","45.9
226","47.6
177","33.7
185","42.3
340","64.7
138","-6.6
338"
2014,Coppin St.,3,"98.0
282","111.2
272",".1901
299","45.4
303","54.9
322","19.3
225","23.2
20","33.5
118","33.8
259","33.8
303","34.1
66","41.8
332","52.5
293","33.5
207","39.8
310","70
41","-3
232"
2013,Southeast Missouri St.,2,"99.4
185","113.5
330",".1789
299","51.1
87","52.9
299","18
84","17
297","26.3
302","34.9
270","32.9
232","41.1
268","49.5
99","48.6
214","36
114","40.9
320","69
46","-4.9
300"
2012,Santa Clara,0,"100.2
186","114.8
331",".1734
299","46
264","56.5
329","15.8
10","17.6
282","26.6
298","34.1
232","33.5
232","58.4
343","44.8
261","55.5
327","32.3
232","39.6
297","69.5
41","-5.8
327"
2011,Monmouth,2,"91.8
309","104.5
215",".1842
299","47.8
221","47.9
113","25.3
335","18.8
217","33.1
142","32.3
180","45.6
54","31.7
66","46.5
222","45.5
87","33.3
216","34.1
148","65.1
216","-6.2
326"
2010,Louisiana Monroe,4,"87.0
333","99.6
146",".1749
299","43.5
322","49.5
195","25.3
328","22.4
79","33.1
162","30.8
95","43.9
85","33.7
92","42
321","46.3
123","30.6
266","37
270","66.8
183","-4.3
265"
2009,Houston Baptist,1,"89.0
321","103.1
210",".1558
299","42.3
332","55.7
326","19.1
108","20.3
177","26.5
306","34.9
241","26.2
329","36
163","40.6
332","58.7
342","29.8
284","34.3
175","72.8
12","-2.9
198"
2008,Stony Brook,1,"94.1
280","108.9
283",".1574
299","45.9
283","52.7
260","18.9
71","22.1
112","36.3
58","37.9
313","30.8
274","46.5
298","44.8
264","48.3
170","32.2
245","39.2
285","66.9
164","-6.2
334"
